density,runtime,recall,precision,doublets_made,seed
0.05,0.82,0.9601769911504425,0.007749446468109421,29273,670313637
0.05,0.68,0.9943502824858758,0.00796812749003984,23198,644484749
0.05,0.73,1.0,0.00802898670070408,25454,481030374
0.05,0.74,0.9961389961389961,0.01043604886336057,25789,435556117
0.05,0.74,0.9961089494163424,0.010117377386080702,26394,684630271
0.05,0.74,0.9965635738831615,0.011467436434813556,26397,1001724227
0.05,0.73,0.9953488372093023,0.00876008023251054,25579,646774787
0.05,0.68,0.9852941176470589,0.012145932472241106,23106,655710665
0.05,0.73,1.0,0.008549515946523615,25011,365691421
0.05,0.71,0.9622641509433962,0.00655751757243271,24518,647715832
