density,runtime,recall,precision,doublets_made,seed
0.05,8.04,0.99,0.02,13330,495770806
0.1,2.84,0.99,0.01,48511,188257569
0.15,2.97,1.0,0.01,111662,176904716
0.2,3.15,1.0,0.01,202350,872454724
0.25,3.3,0.99,0.0,301039,694899005
0.3,3.47,0.98,0.0,443151,631401112
0.35,3.51,0.99,0.0,573103,118417488
0.4,3.79,0.99,0.0,790605,82044116
0.45,4.0,0.99,0.0,964222,555792237
0.5,3.59,0.99,0.0,1189063,40180631
0.55,3.82,0.99,0.0,1442088,108147605
0.6,4.02,0.99,0.0,1722881,763119314
0.65,4.25,0.99,0.0,2018129,217040323
0.7,4.53,0.99,0.0,2381099,51955791
0.75,4.75,0.99,0.0,2691410,537539969
0.8,5.03,0.99,0.0,3043434,240094815
0.85,5.33,0.99,0.0,3488339,508377140
0.9,5.64,0.99,0.0,3871596,469828867
0.95,5.98,0.99,0.0,4301243,712248383
1.0,6.31,0.99,0.0,4782858,911834714
