density,runtime,recall,precision,doublets_made,seed
0.05,8.79,0.9957805907172996,0.009781977949100556,25285,338661406
0.05,9.06,0.9953917050691244,0.008358809643589645,27077,750222139
0.05,10.18,1.0,0.008625778943916038,31751,53053774
0.05,8.52,0.9953051643192489,0.008283838699593623,26778,899722328
0.05,8.83,0.9953051643192489,0.008050123409910764,27512,974914701
0.05,8.54,0.975609756097561,0.006257822277847309,26804,6878326
0.05,8.22,1.0,0.007753352184620998,23082,1056460465
0.05,9.26,1.0,0.00786126254246662,26518,125037292
0.05,9.28,0.9867549668874173,0.011945802934338171,26056,485006656
0.05,8.65,0.9965870307167235,0.01169075549505545,26072,367212954
