density,runtime,recall,precision,doublets_made,seed
0.05,2.2,0.98,0.02,13067,945660164
0.1,2.62,0.99,0.01,52440,185541664
0.15,5.29,0.99,0.01,114122,448043247
0.2,9.19,0.99,0.01,203538,733278846
0.25,16.31,0.99,0.0,303124,583255321
0.3,22.3,1.0,0.0,443789,981100200
0.35,28.49,0.99,0.0,589228,707485935
0.4,38.32,1.0,0.0,784021,245652911
0.45,46.43,0.99,0.0,981934,819487509
0.5,54.33,0.99,0.0,1181408,921985007
0.55,65.12,0.99,0.0,1421987,389161488
0.6,79.52,0.99,0.0,1740470,325738571
0.65,91.89,0.99,0.0,1992206,292623827
0.7,104.01,0.99,0.0,2321786,48612740
0.75,118.23,0.99,0.0,2691825,29778999
0.8,134.59,0.99,0.0,3042258,818809495
0.85,153.03,0.99,0.0,3498514,952467641
0.9,173.86,0.99,0.0,3896001,794791694
0.95,185.44,0.99,0.0,4358493,599917716
1.0,222.0,0.99,0.0,4790508,349233458
